name;nicknames;description;tokens;properties;referrals;history
Kitster;['Kitster'];Kitster was one of Anakin Skywalker's friends before the young podracing champ left Tatooine for the life of a Jedi. An optimistic human boy about the same age as Anakin, Kitster was part of Anakin's pit team in the fateful Boonta Eve Classic race that saw young Skywalker win his freedom.;['kitster', 'one', 'anakin', 'skywalker', 'friend', 'young', 'podracer', 'champ', 'left', 'tatooine', 'life', 'jedi', 'optimistic', 'human', 'boy', 'age', 'anakin', 'kitster', 'part', 'anakin', 'pit', 'team', 'fate', 'boonta', 'eve', 'classic', 'race', 'saw', 'young', 'skywalker', 'win', 'freedom'];{'Appearances': ['Star Wars: The Phantom Menace (Episode I)'], 'Locations': ['Tatooine'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.24m ']};;
Kitwarr;['Kitwarr'];Kitwarr was a young Wookiee captured by Imperials and forced to work in the spice mines of Kessel. After a daring rescue by the crew of the Ghost, he and his father, Wulffwarro, were set free.;['kitwarr', 'young', 'wookiee', 'capture', 'imperial', 'force', 'work', 'spice', 'mining', 'kessel', 'daring', 'rescue', 'crew', 'ghost', 'father', 'wulffwarro', 'set', 'free'];{'Appearances': ['Star Wars Rebels'], 'Gender': ['Male']};;
Klaatu;['Klaatu'];A Kadas’sa’Nikto from Kintan, Klaatu was a henchman of Jabba the Hutt, and spent his time at the Hutt’s palace repairing skiffs, eagerly awaiting executions and amassing ever-larger gambling debts. Klaatu confronted Luke Skywalker during the battle at the Great Pit of Carkoon, but fled after Luke disarmed him with a stroke of his lightsaber. He died when Jabba’s sail barge exploded.;['kada', 'sa', 'nikto', 'kintan', 'klaatu', 'henchman', 'jabba', 'hutt', 'spent', 'time', 'hutt', 'palace', 'repairs', 'skiffs', 'eagerly', 'awaiting', 'executed', 'amassing', 'ever-larger', 'gambling', 'debt', 'klaatu', 'confronted', 'luke', 'skywalker', 'battle', 'great', 'pit', 'carkoon', 'fled', 'luke', 'disarmed', 'stroke', 'lightsaber', 'died', 'jabba', 'sail', 'barge', 'exploded'];{'Appearances': ['Star Wars: Return of the Jedi (Episode VI)'], 'Locations': ['Tatooine', 'Kintan'], 'Gender': ['Male'], 'species': ['Nikto (Green)'], 'Weapons': ['Blaster Pistol']};;
Klaud;['Klaud'];Klaud might have joined the Resistance as a result of mistaken identity, but he is welcomed as an ally by the freedom fighters. ;['klaud', 'might', 'joined', 'resistance', 'result', 'mistaken', 'identity', 'welcoming', 'ally', 'freedom', 'fighter'];{'Appearances': ['Star Wars: The Rise of Skywalker (Episode IX)']};;
Kleya Marki;['Kleya Marki'];The concierge at Luthen Rael's Galactic Antiquities and Objects of Interest gallery, Kleya Marki is a master of disguise. At the shop, Kleya works out front assisting customers and restoring precious artifacts. But when called upon, she is the perfect emissary, messenger, and enforcer, for Luthen's spy operation, with a highly attenuated intuition and unflinching commitment to the rebel cause.;['concierge', 'luthen', 'rael', 'galactic', 'antiquities', 'objects', 'interest', 'gallery', 'kleya', 'marki', 'master', 'disguise', 'shop', 'kleya', 'work', 'front', 'assist', 'customized', 'restore', 'precious', 'artifacts', 'called', 'upon', 'perfect', 'emissary', 'messenger', 'enforcer', 'luthen', 'spy', 'operations', 'highly', 'attenuated', 'intuition', 'unflinching', 'committed', 'rebel', 'cause'];{'Appearances': ['Andor']};;
Klik-Klak;['Klik-Klak'];"Klik-Klak was the lone Geonosian survivor following the Empire's eradication of his people. He hid in the Geonosis caves, fearful of outsiders, and used battle droids left over from the Clone Wars as a means of protection. But he wasn't just protecting himself; Klik-Klak was the keeper of a queen egg, which could be the key to rebuilding his kind.";"['klik-klak', 'lone', 'geonosian', 'survivor', 'following', 'empire', 'eradication', 'people', 'hid', 'geonosis', 'cave', 'feared', 'outside', 'used', 'battle', 'droid', 'left', 'clone', 'wars', 'means', 'protecting', ""n't"", 'protecting', 'klik-klak', 'keeper', 'queen', 'egg', 'could', 'key', 'rebuild', 'kind']";{'Appearances': ['Star Wars Rebels'], 'Locations': ['Geonosis'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.75m '], 'species': ['Geonosian']};;
Korkie Kryze;['Korkie Kryze'];The nephew of Duchess Satine Kryze, Cadet Korkie attended the Royal Academy of Government on Mandalore, where he was being groomed for leadership. His keen insights and ambitious personality suggested that he would go far. Together with his friends Soniee, Amis, and Lagos, Korkie helped expose corruption in the highest levels of government, and later helped rescue his aunt from wrongful imprisonment during the rise of the Shadow Collective.;['nephew', 'duchess', 'satine', 'kryze', 'cadets', 'korkie', 'attendant', 'royal', 'academy', 'government', 'mandalore', 'groom', 'leadership', 'keen', 'insight', 'ambitious', 'personal', 'suggested', 'would', 'go', 'far', 'together', 'friend', 'soniee', 'amis', 'lagos', 'korkie', 'help', 'expose', 'corruption', 'highest', 'levels', 'government', 'later', 'help', 'rescue', 'aunt', 'wrong', 'imprisoned', 'rise', 'shadow', 'collective'];{'Appearances': ['Star Wars: The Clone Wars'], 'Locations': ['Mandalore'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.65m ']};;
Korr Sella;['Korr Sella'];The capable, no-nonsense Korr Sella assisted Leia Organa during her career in the New Republic’s Galactic Senate and remained in her service when Leia left politics to establish the Resistance. Sella served as Leia’s link to the Senate, bringing intelligence to allies and supporters who agreed with her warnings about the First Order. Sella was on Hosnian Prime as Leia’s envoy when the Starkiller superweapon destroyed the system, ending her life.;['capable', 'no-nonsense', 'korr', 'sella', 'assist', 'leia', 'organa', 'career', 'new', 'republic', 'galactic', 'senator', 'remain', 'service', 'leia', 'left', 'political', 'establish', 'resistance', 'sella', 'served', 'leia', 'link', 'senator', 'bring', 'intelligence', 'ally', 'support', 'agreed', 'warned', 'first', 'order', 'sella', 'hosnian', 'prime', 'leia', 'envoy', 'starkiller', 'superweapon', 'destroyed', 'systems', 'end', 'life'];"{'Appearances': ['Star Wars: The Force Awakens (Episode VII)'], 'Affiliations': ['The Resistance'], 'Locations': [""D'Qar""], 'Gender': ['Female'], 'Dimensions': ['Height: 1.65m '], 'species': ['Human']}";;
Kragan Gorr;['Kragan Gorr'];The notorious pirate Kragan Gorr has a reputation for leading ruthless attacks under the cover of environmental threats. In addition to his pirate gang and associates feeding him important tactical intelligence, Kragan is secretly in league with the First Order.;['notorious', 'pirate', 'kragan', 'gorr', 'reputation', 'leading', 'ruthless', 'attack', 'cover', 'environmental', 'threat', 'addition', 'pirate', 'gang', 'associates', 'feed', 'important', 'tactical', 'intelligence', 'kragan', 'secretly', 'league', 'first', 'order'];{'Appearances': ['Star Wars Resistance'], 'Gender': ['Male']};['the First Order', 'Torra Doza', 'Synara San', 'Kazuda Xiono', 'Colossus', 'Doza Tower', 'Colossus', 'Captain Doza', 'jakoosk', 'Sidon Ithano', 'Colossus', 'super battle droids', 'Captain Doza', 'Neeku'];
Krismo Sodi;['Krismo Sodi'];Krismo was the most skilled and deadly member of the Kage Warriors, serving as their leader at the time of the Clone Wars. From atop a galloping milodon, he led his warriors through the subterranean caverns of Quarzite against the Belugan forces of Lord Otua Blank.;['krismo', 'skills', 'deadly', 'member', 'kage', 'warrior', 'served', 'leader', 'time', 'clone', 'wars', 'atop', 'galloping', 'milodon', 'led', 'warrior', 'subterranean', 'caverns', 'quarzite', 'belugan', 'force', 'lord', 'otua', 'blank'];{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Kage Warriors'], 'Locations': ['Quarzite'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.89m '], 'species': ['Kage']};;
Krrsantan;['Krrsantan'];A former gladiator turned deadly bounty hunter, Krrsantan is a towering black-furred Wookiee. During the Empire's rule, he made a name for himself in the criminal underworld with his intimidating presence and unstoppable raw strength.;['former', 'gladiator', 'turned', 'deadly', 'bounty', 'hunter', 'krrsantan', 'tower', 'black-furred', 'wookiee', 'empire', 'rule', 'made', 'name', 'criminal', 'underworld', 'intimidating', 'presence', 'unstoppable', 'raw', 'strength'];"{'Appearances': ['The Book of Boba Fett'], 'Locations': ['Tatooine'], 'species': ['Wookiee'], 'Weapons': [""Krrsantan's knuckle dusters""]}";;
Kuiil;['Kuiil'];A vapor farmer on Arvala-7, Kuiil came to seek peace in an out of the way world, which is now being trespassed upon by criminals and mercenaries. He has worked a lifetime to be free of servitude, and offers valuable skills for those willing to meet his price.;['vapor', 'farmer', 'arvala-7', 'kuiil', 'came', 'seeking', 'peace', 'way', 'world', 'trespassers', 'upon', 'criminal', 'mercenary', 'work', 'lifetime', 'free', 'servitude', 'offered', 'valuable', 'skills', 'will', 'meet', 'price'];{'Appearances': ['The Mandalorian'], 'Gender': ['Male'], 'species': ['Ugnaught']};;
Kuruk;['Kuruk'];A gifted sniper, Kuruk is the most solitary of the Knights of Ren, preferring to cover the group’s assaults from a carefully chosen vantage point above the battlefield. He also serves as pilot of the Night Buzzard.;['gifted', 'sniper', 'kuruk', 'solitary', 'knights', 'ren', 'prefers', 'cover', 'group', 'assault', 'careful', 'chosen', 'vantage', 'point', 'battlefield', 'also', 'served', 'pilot', 'night', 'buzzard'];{'Appearances': ['Star Wars: The Force Awakens (Episode VII)', 'Star Wars: The Rise of Skywalker (Episode IX)'], 'Affiliations': ['Knights of Ren'], 'Gender': ['Male'], 'Vehicles': ['Night Buzzard'], 'Weapons': ['Kuruk’s blaster rifle']};;
L3-37;['L3-37'];A self-made droid built from astromech and protocol parts, L3-37 is an enlightened navigator who cares deeply about droid rights. Her ability to connect directly with the Millennium Falcon’s navicomputer lets the freighter plot faster routes than those traveled by more cautious ships. L3-37’s habit of speaking her mind and her relentless advocacy for mechanicals can alienate organic beings.;['self-made', 'droid', 'built', 'astromech', 'protocol', 'part', 'l3-37', 'enlightened', 'navigator', 'careful', 'deeply', 'droid', 'right', 'ability', 'connection', 'directly', 'millennium', 'falcon', 'navicomputer', 'let', 'freighter', 'plot', 'faster', 'routes', 'traveled', 'cautious', 'ship', 'l3-37', 'habit', 'speak', 'mind', 'relentless', 'advocacy', 'mechanical', 'alien', 'organic', 'be'];{'Appearances': ['Solo: A Star Wars Story'], 'Dimensions': ['Height: 1.79m '], 'droid': ['custom piloting droid']};['Millennium Falcon', 'Lando Calrissian', 'Beckett', 'Kessel'];
LE-12;['LE-12'];Meandering about the Colossus on two springy legs, this older model LE-series droid performs a variety of functions for various mechanics and salvagers on the platform, thanks to a trusty pair of clamps and a head unit that can spin around 360 degrees.;['meandering', 'colossus', 'two', 'springy', 'legs', 'older', 'model', 'le-series', 'droid', 'performance', 'variety', 'functions', 'various', 'mechanical', 'salvage', 'platform', 'thanks', 'trusty', 'pair', 'clamps', 'head', 'unit', 'spinning', 'around', 'degrees'];{'Appearances': ['Star Wars Resistance'], 'Locations': ['Colossus'], 'star wars': ['Droid']};;
LT-514;['LT-514'];LT-514 started life as Obon Yandro, a low-level clerk for a manufacturing corporation. A chance series of events saw him mistaken for an Imperial intelligence courier while carrying classified blueprints. Though the mistake was short-lived, Obon showed a knack for intelligence work, and joined the Imperial Information Office. Enhanced with Aj^6 cybernetic implants, and renamed LT-514, he became fascinated by the data patterns of war… always at a distance. After Endor, a shortage of intelligence officers finally let LT-514 be a part of the action he’d studied for so long.;['lt-514', 'start', 'life', 'obon', 'yandro', 'low-level', 'clerk', 'manufacture', 'corporal', 'chance', 'series', 'events', 'saw', 'mistaken', 'imperial', 'intelligence', 'courier', 'carried', 'classified', 'blueprints', 'though', 'mistake', 'short-lived', 'obon', 'showing', 'knack', 'intelligence', 'work', 'joined', 'imperial', 'information', 'officer', 'enhanced', 'aj^6', 'cybernetic', 'implants', 'renamed', 'lt-514', 'became', 'fascinated', 'data', 'patterns', 'war…', 'always', 'distance', 'endor', 'shortage', 'intelligence', 'officer', 'final', 'let', 'lt-514', 'part', 'action', 'studied', 'long'];{};;
Lady Proxima;['Lady Proxima'];The fearsome Grindalid matriarch of the White Worms, Lady Proxima rules Corellia’s black market from a tangle of sewer tunnels beneath Corellia’s Coronet City. A briny pool serves as a throne room where Proxima feeds her hatchlings and commands the urchins known as scrumrats, sending them out to pick pockets and barter stolen goods.;['fearsome', 'grindalid', 'matriarch', 'white', 'worms', 'lady', 'proxima', 'rule', 'corellia', 'black', 'market', 'tangle', 'sewers', 'tunnels', 'beneath', 'corellia', 'coronet', 'city', 'briny', 'pool', 'served', 'throne', 'room', 'proxima', 'feed', 'hatchlings', 'commander', 'urchins', 'known', 'scrumrats', 'sending', 'picked', 'pocket', 'barter', 'stolen', 'good'];"{'Appearances': ['Solo: A Star Wars Story'], 'Affiliations': ['White Worms'], 'Locations': ['Corellia', ""White Worms' den""], 'Gender': ['Female'], 'Dimensions': ['Height: 4.88m '], 'species': ['Grindalid']}";;
Lagos;['Lagos'];During the Clone Wars, Lagos attended the prestigious Mandalorian Royal Academy of Government, an institution that grooms the best and brightest of Mandalorian youth to help steer the future of the planet. This future, however, was dominated by the influence of criminal interlopers. First, the unscrupulous Prime Minister Almec embroiled the planet in the black market. Lagos was one of the cadets led by Korkie Kryze who helped expose this plot. A cautious student, she sometimes found the adventure-seeking nature of her classmates overwhelming. She would find courage when circumstances demanded it, however, even piloting the escape speeder during a brash jail break that freed the wrongly imprisoned Duchess Satine Kryze.;['clone', 'wars', 'lagos', 'attendant', 'prestigious', 'mandalorian', 'royal', 'academy', 'government', 'institution', 'groom', 'best', 'brightest', 'mandalorian', 'youth', 'help', 'steering', 'future', 'planet', 'future', 'however', 'dominance', 'influence', 'criminal', 'interlopers', 'first', 'unscrupulous', 'prime', 'minister', 'almec', 'embroiled', 'planet', 'black', 'market', 'lagos', 'one', 'cadets', 'led', 'korkie', 'kryze', 'help', 'expose', 'plot', 'cautious', 'student', 'sometimes', 'found', 'adventure-seeker', 'nature', 'classmates', 'overwhelming', 'would', 'find', 'courage', 'circumstances', 'demanding', 'however', 'even', 'pilot', 'escape', 'speeder', 'brash', 'jail', 'breaking', 'freed', 'wrongly', 'imprisoned', 'duchess', 'satine', 'kryze'];{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic'], 'Locations': ['Mandalore'], 'Gender': ['Female']};;
Lama Su;['Lama Su'];An ancient creature accidentally unearthed on Malastare during an intense battle of the Clone Wars, the zillo beast was a monster of legend. The enormous animal proved to be nearly invulnerable to Republic weaponry, prompting intense interest from then-Chancellor Palpatine. At his order, the creature was incapacitated and transported to a secure research facility on Coruscant, before it broke free and terrorized the capital. In the era of the Empire, Emperor Palpatine's scientists continue to work on harnessing the species' natural gifts, with disastrous consequences. On one occasion, an Imperial craft carrying a modified version of the creature crash-landed on the world of Silla, leaving the modified zillo to blindly hunt for power sources, gulping at energy conduits to propel its rapid growth, and feasting on one of the planet's solar farms.;['ancient', 'creature', 'accidentally', 'unearthed', 'malastare', 'intense', 'battle', 'clone', 'wars', 'zillo', 'beast', 'monster', 'legend', 'enormous', 'animals', 'proved', 'nearly', 'invulnerable', 'republic', 'weaponry', 'prompting', 'intense', 'interest', 'then-chancellor', 'palpatine', 'order', 'creature', 'incapacitated', 'transport', 'security', 'research', 'facility', 'coruscant', 'broke', 'free', 'terrorized', 'capital', 'era', 'empire', 'emperor', 'palpatine', 'scientist', 'continues', 'work', 'harnessing', 'species', 'nature', 'gifted', 'disastrous', 'consequences', 'one', 'occasion', 'imperial', 'craft', 'carried', 'modified', 'version', 'creature', 'crash-landed', 'world', 'silla', 'leaving', 'modified', 'zillo', 'blindly', 'hunting', 'power', 'source', 'gulping', 'energy', 'conduits', 'propel', 'rapid', 'growth', 'feasting', 'one', 'planet', 'solar', 'farm'];{'Appearances': ['Star Wars: Attack of the Clones (Episode II)', 'Star Wars: The Bad Batch', 'Star Wars: The Clone Wars'], 'Locations': ['Kamino'], 'Gender': ['Male'], 'Dimensions': ['Height: 2.29m '], 'species': ['Kaminoan']};;
Lando Calrissian;['Lando Calrissian'];Lando Calrissian may have come late to the fight against the Empire, but his role in destroying the second Death Star cemented his reputation as a hero. In his youth, Lando was a sportsman seeking a fortune at the sabacc tables. After he lost his beloved ship to Han Solo, Lando spent years living the high life and pursuing get-rich-quick schemes, with uneven results. He went semi-respectable as the baron administrator of Cloud City, only to be drawn into the fight against the Empire. After a personal tragedy, Lando sought solace in isolation on Pasaana, unaware that the galaxy would need him again.;['lando', 'calrissian', 'may', 'come', 'late', 'fight', 'empire', 'role', 'destroyed', 'second', 'death', 'star', 'cemented', 'reputation', 'hero', 'youth', 'lando', 'sportsman', 'seeking', 'fortunately', 'sabacc', 'table', 'lost', 'beloved', 'ship', 'han', 'solo', 'lando', 'spent', 'years', 'living', 'high', 'life', 'pursued', 'get-rich-quick', 'scheming', 'uneven', 'result', 'went', 'semi-respectable', 'baron', 'administrator', 'cloud', 'city', 'drawn', 'fight', 'empire', 'personal', 'tragedy', 'lando', 'sought', 'solace', 'isolation', 'pasaana', 'unaware', 'galaxy', 'would', 'needed'];{'Appearances': ['Star Wars: The Empire Strikes Back (Episode V)', 'Star Wars: Return of the Jedi (Episode VI)', 'Solo: A Star Wars Story', 'Star Wars: The Rise of Skywalker (Episode IX)', 'Star Wars Rebels'], 'Affiliations': ['Rebel Alliance', 'The Resistance'], 'Locations': ['Cloud City', 'Bespin', 'Numidian Prime', 'Pasaana'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.78m '], 'species': ['Human'], 'Vehicles': ['Millennium Falcon'], 'Weapons': ['SE-14 blaster pistol']};"['Vandor', 'Millennium Falcon', 'Han Solo', 'Kessel', 'L3-37', 'sabacc', 'Numidian Prime', 'Lothal', ""Old Jho's"", 'sabacc', 'Zeb Orrelios', 'the Ghost', 'Lasat', 'Chopper', 'astromech', 'Azmorigan', 'Hera', 'puffer pig', ""Twi'lek"", 'Cloud City', 'Bespin', 'Empire', 'Darth Vader', 'stormtroopers', 'Boba Fett', 'hyperdrive', 'Leia', 'Chewbacca', 'Jabba the Hutt', 'palace', 'Tatooine', 'Jabba’s sail barge', 'Death Star', 'Pasaana', 'Aki-Aki', 'Emperor Palpatine', 'Chewbacca', 'Exegol']";
Lanse Crowder;['Lanse Crowder'];A slick pirate who deals in rare antiquities and other exotic finds, Lanse Crowder is not above peddling knockoffs and poisoning his patrons if it means he can sell a single item more than once and reap the profits. In negotiations with the discerning Phee Genoa, Lanse discovers his henchmen are no match for her new crew — Omega, Wrecker, and Hunter.;['slick', 'pirate', 'deal', 'rare', 'antiquities', 'exotic', 'find', 'lanse', 'crowder', 'peddling', 'knockoffs', 'poisoned', 'patrons', 'means', 'sell', 'single', 'item', 'reap', 'profitable', 'negotiate', 'discerning', 'phee', 'genoa', 'lanse', 'discovered', 'henchmen', 'match', 'new', 'crew', '—', 'omega', 'wrecker', 'hunter'];{'Appearances': ['Star Wars: The Bad Batch']};;
Lark and Jonk a.k.a. 'The Twins';"[""Lark and Jonk a.k.a. 'The Twins'""]";House rules dictate that Lark and Jonk must enter sabacc games as a single player, as their two heads would give them an unfair advantage. Although not truly twins, their nickname pays homage to their conjoined nature.;['house', 'rule', 'dictates', 'lark', 'jonk', 'must', 'enter', 'sabacc', 'game', 'single', 'player', 'two', 'head', 'would', 'give', 'unfair', 'advantage', 'although', 'truly', 'twin', 'nickname', 'pay', 'homage', 'conjoined', 'nature'];{'Appearances': ['Solo: A Star Wars Story'], 'Locations': ['Vandor', 'The Lodge']};;
Latts Razzi;['Latts Razzi'];Beautiful and deadly, Latts Razzi was a Theelin bounty hunter who operated during the Clone Wars. Used to high style and first class comforts, Razzi charged exorbitant rates but had the skills to back them. Aside from her pinpoint accuracy with a blaster pistol, she was an expert unarmed fighter in several forms of exotic combat. Draped around her shoulders were triple rows of a scaled boa, which when snapped like a whip or lariat, proved to be much more than a fashion accessory.;['beautiful', 'deadly', 'latts', 'razzi', 'theelin', 'bounty', 'hunter', 'operations', 'clone', 'wars', 'used', 'high', 'style', 'first', 'class', 'comforts', 'razzi', 'charge', 'exorbitant', 'rates', 'skills', 'back', 'aside', 'pinpoint', 'accuracy', 'blaster', 'pistols', 'expert', 'unarmed', 'fighter', 'several', 'form', 'exotic', 'combat', 'draped', 'around', 'shoulders', 'triple', 'rows', 'scaled', 'boa', 'snap', 'like', 'whip', 'lariat', 'proved', 'much', 'fashion', 'accessory'];{'Appearances': ['Star Wars: The Clone Wars'], 'Gender': ['Female'], 'Dimensions': ['Height: 1.79m '], 'species': ['Theelin'], 'Weapons': ['Blaster Pistol']};;
Lechee;['Lechee'];Like any slimy businessman, Lechee knows how to turn on the charm while trying to usher new customers into his shop in the Vargo marketplace. But once out of sight and earshot, his demeanor turns to something more sinister in the hopes of making a quick credit.;['like', 'slimy', 'businessman', 'lechee', 'knows', 'turned', 'charming', 'tried', 'usher', 'new', 'customized', 'shop', 'vargo', 'marketplace', 'sight', 'earshot', 'demeanor', 'turned', 'something', 'sinister', 'hopes', 'make', 'quick', 'credits'];{'Appearances': ['Star Wars Resistance'], 'Gender': ['Male'], 'species': ['Gran']};;
Leia Organa;['Leia Organa'];Princess Leia Organa was one of the greatest leaders of the Rebel Alliance, fearless on the battlefield and dedicated to ending the Empire’s tyranny. Daughter of Padmé Amidala and Anakin Skywalker, sister of Luke Skywalker, and with a soft spot for scoundrels, Leia ranked among the galaxy’s great heroes. But life under the New Republic proved difficult for her. Sidelined by a new generation of political leaders, she struck out on her own to oppose the First Order as founder of the Resistance. These setbacks in her political career were accompanied by more personal losses, which she endured with her seemingly inexhaustible will.;['princess', 'leia', 'organa', 'one', 'greatest', 'leader', 'rebel', 'alliance', 'fearless', 'battlefield', 'dedicated', 'end', 'empire', 'tyranny', 'daughter', 'padmé', 'amidala', 'anakin', 'skywalker', 'sister', 'luke', 'skywalker', 'soft', 'spot', 'scoundrels', 'leia', 'ranks', 'among', 'galaxy', 'great', 'hero', 'life', 'new', 'republic', 'proved', 'difficult', 'sidelined', 'new', 'general', 'political', 'leader', 'struck', 'oppose', 'first', 'order', 'founder', 'resistance', 'setbacks', 'political', 'career', 'accompanied', 'personal', 'loss', 'endured', 'seemingly', 'inexhaustible'];{'Appearances': ['Star Wars: A New Hope (Episode IV)', 'Star Wars: The Empire Strikes Back (Episode V)', 'Star Wars: Return of the Jedi (Episode VI)', 'Star Wars: Revenge of the Sith (Episode III)', 'Star Wars: The Force Awakens (Episode VII)', 'Rogue One: A Star Wars Story', 'Star Wars: The Last Jedi (Episode VIII)', 'Obi-Wan Kenobi', 'Star Wars Resistance', 'Star Wars Rebels'], 'Affiliations': ['Rebel Alliance', 'The Resistance', 'Galactic Senate', 'Alderaan Royal Family'], 'Locations': ['Alderaan', 'Polis Massa', 'Crait'], 'Gender': ['Female'], 'Dimensions': ['Height: 1.5m '], 'species': ['Human'], 'Vehicles': ['Tantive IV', 'The Raddus'], 'Weapons': ['Blaster Pistol']};"['Padmé Amidala', 'Anakin Skywalker', 'Naboo', 'Luke', 'Bail Organa', 'Alderaan', 'Daiyu', 'Phoenix Squadron', 'Lothal', 'Ghost', 'Kanan', 'Ezra', 'Empire', 'Death Star', 'Scarif', 'Tantive IV', 'Tantive IV', 'Death Star', 'Empire’s', 'Rebel Alliance’s', 'Darth Vader', 'R2-D2', 'C-3PO', 'stormtroopers', 'Grand Moff Tarkin', 'interrogation droid', 'Yavin 4', 'Tatooine', 'Obi-Wan Kenobi', 'Han Solo', 'Chewbacca', 'Millennium Falcon', 'X-wing', 'TIE fighters', 'Hoth', 'Cloud City', 'Lando Calrissian', 'Boba Fett', ""Jabba's Palace"", 'Jabba', 'Sarlacc', 'Death Star', 'Endor', 'Imperial shuttle', 'scout troopers', 'speeder bikes', 'Ewok', 'Wicket', 'Emperor', 'Endor', 'New Republic', 'Galactic Empire', 'Resistance', 'Resistance', 'irst Order', 'Poe Dameron', 'Kazuda Xiono', 'Colossus', 'Hosnian Prime', 'First Order', 'New Republic', 'Hosnian', 'Starkiller', 'Resistance', 'Kylo Ren', 'Raddus', 'Crait', 'Resistance', 'Resistance', 'Luke', 'Rey', 'the Force', 'the Force', 'Ajan Kloss']";
Leida Mothma;['Leida Mothma'];At 13, Leida Mothma is already nursing a rebellious streak. The daughter of Senator Mon Mothma and her husband Perrin Fertha, Leida spends much of her time on Coruscant, but resents her mother's focus on her political career. Instead, Leida prefers the simplicity of Chandrilan customs, a surprise to her mother who regards many of the traditions as outdated in modern times.;['leida', 'mothma', 'already', 'nursing', 'rebellious', 'streak', 'daughter', 'senator', 'mon', 'mothma', 'husband', 'perrin', 'fertha', 'leida', 'spends', 'much', 'time', 'coruscant', 'resents', 'mother', 'focus', 'political', 'career', 'instead', 'leida', 'prefers', 'simplicity', 'chandrilan', 'customized', 'surprise', 'mother', 'regarded', 'many', 'tradition', 'outdated', 'modern', 'time'];{'Appearances': ['Andor']};;
Lens Kamo;['Lens Kamo'];A fervent student of history and professional treasure hunter formerly employed by the cybernetics mogul, Baron Attsmun. She went into treasure hunting with the sole purpose of getting artifacts out of sites without harming them, and keeping them out of reach of the destructive collectors -- by any means necessary. ;['fervent', 'student', 'history', 'professional', 'treasure', 'hunter', 'formerly', 'employed', 'cybernetic', 'mogul', 'baron', 'attsmun', 'went', 'treasure', 'hunting', 'sole', 'purpose', 'get', 'artifacts', 'site', 'without', 'harm', 'keep', 'reach', 'destruction', 'collector', 'means', 'necessary'];{'Locations': ['Batuu', 'Black Spire Outpost']};;
Leox;['Leox'];"Leox Gyasi is the charming, rogue pilot of the Vessel who may or may not have a fondness for spice. Despite his undeniable good looks, romantic and sexual encounters are not imperative to him; in fact, he identifies as asexual. His primary focus is piloting the Vessel with his navigator, Geode, or the Byne Guild.";['leox', 'gyasi', 'charming', 'rogue', 'pilot', 'vessel', 'may', 'may', 'fondness', 'spice', 'despite', 'undeniable', 'good', 'looking', 'romantic', 'sexual', 'encounter', 'imperative', 'fact', 'identified', 'asexual', 'primary', 'focus', 'pilot', 'vessel', 'navigator', 'geode', 'byne', 'guild'];{'Appearances': ['Star Wars: The High Republic']};;
Leoz;['Leoz'];A member of Kragan Gorr's pirate gang, when he isn't pillaging and plundering Leoz spends his time gambling with his lucky pair of dice. A sore loser, he has been known to place a curse on his opponent after a bad match.;"['member', 'kragan', 'gorr', 'pirate', 'gang', ""n't"", 'pillaging', 'plundering', 'leoz', 'spends', 'time', 'gambling', 'lucky', 'pair', 'dice', 'sore', 'loser', 'known', 'place', 'curse', 'opponents', 'bad', 'match']";{'Appearances': ['Star Wars Resistance'], 'Gender': ['Male'], 'species': ['Nikto']};;
Letta Turmond;['Letta Turmond'];Hardened by a life in the working class levels of Coruscant, Letta Turmond had a jaundiced view of the Jedi Order and the leadership of the Galactic Republic. Her husband, Jackar Bowmani, was a technician who worked in the Jedi Temple, and devoted his life to supporting the Order. With the outbreak of the Clone Wars, Bowmani's expertise was used to arm Republic gunships, and it galled Letta to see what was once an institution of peace and justice transformed into an instrument of war. She became an activist opposed to the Jedi involvement of the war, but her beliefs were so radical that they crossed the line into terrorism.;['hardened', 'life', 'work', 'class', 'levels', 'coruscant', 'letta', 'turmond', 'jaundiced', 'view', 'jedi', 'order', 'leadership', 'galactic', 'republic', 'husband', 'jackar', 'bowmani', 'technician', 'work', 'jedi', 'temple', 'devoted', 'life', 'support', 'order', 'outbreak', 'clone', 'wars', 'bowmani', 'expertise', 'used', 'arms', 'republic', 'gunship', 'gall', 'letta', 'see', 'institution', 'peace', 'justice', 'transformed', 'instrument', 'wars', 'became', 'activist', 'oppose', 'jedi', 'involved', 'wars', 'beliefs', 'radical', 'cross', 'line', 'terrorized'];{'Appearances': ['Star Wars: The Clone Wars'], 'Locations': ['Coruscant'], 'Gender': ['Female']};;
